# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'cycles:u'
# Event count (approx.): 1956954042668
#
# Children      Self       Samples  Symbol                           IPC   [IPC Coverage]
# ........  ........  ............  ...............................  ....................
#
     0.00%     0.00%             0  [.] 0x482bcbc53edcdb76           -      -            
     0.00%     0.00%             0  [.] 0x88acfae575f4244c           -      -            
     0.00%     0.00%             0  [.] 0xe277081662764b87           -      -            
     0.00%     0.00%             0  [.] 0xe060a8b9556d2c72           -      -            
     0.00%     0.00%             0  [.] 0x709409d89275b6e7           -      -            
     0.00%     0.00%             0  [.] 0x5c8e4d6c2ec6eeb7           -      -            
     0.00%     0.00%             0  [.] 0xbe4e005cb78c9aa8           -      -            
     0.00%     0.00%             0  [.] 0x8b73f062152a10be           -      -            
     0.00%     0.00%             0  [.] 0x578902c715f0a9dc           -      -            
     0.00%     0.00%             0  [.] 0x7fff7d1611119495           -      -            
     0.00%     0.00%             0  [.] 0x9b5a3e3322fb0ac3           -      -            
     0.00%     0.00%             0  [.] 0x21fe7349a9eb77c6           -      -            
     0.00%     0.00%             0  [.] 0x6067fe50e4c7a586           -      -            
     0.00%     0.00%             0  [.] 0x0309cccd15c25fb5           -      -            
     0.00%     0.00%             0  [.] 0x5def03125c34ec89           -      -            
     0.00%     0.00%             0  [.] 0x75a94a20035123e1           -      -            
     0.00%     0.00%             0  [.] 0xfd3c983045ac1a80           -      -            
     0.00%     0.00%             0  [.] 0xd1e62a265cb229aa           -      -            
     0.00%     0.00%             0  [.] 0x85bec1a275d51035           -      -            
     0.00%     0.00%             0  [.] 0x45f08ce347807cc7           -      -            
     0.00%     0.00%             0  [.] 0xdb22e7eaa1ca99a8           -      -            
     0.00%     0.00%             0  [.] 0xe085fc3d7cf03aa1           -      -            
     0.00%     0.00%             0  [.] 0x1b83a0367503097f           -      -            
     0.00%     0.00%             0  [.] 0x3a84be7a7674c9c0           -      -            
     0.00%     0.00%             0  [.] 0x4b88d58282e120eb           -      -            
     0.00%     0.00%             0  [.] 0x32b43ec738a4d6e5           -      -            
     0.00%     0.00%             0  [.] 0x1fcdf63ec1c77f2b           -      -            
     0.00%     0.00%             0  [.] 0xf2a8ef34f2ef24e4           -      -            
     0.00%     0.00%             0  [.] 0x9750b0bff2b23a36           -      -            
     0.00%     0.00%             0  [.] 0x651dc5f3b69f2b97           -      -            
     0.00%     0.00%             0  [.] 0xcf80fd7fa2201c6d           -      -            
     0.00%     0.00%             0  [.] 0xf69d9c3980fa76aa           -      -            
     0.00%     0.00%             0  [.] 0xa63182a63657b34a           -      -            
     0.00%     0.00%             0  [.] 0xc9bd9f4fbd92e64c           -      -            
     0.00%     0.00%             0  [.] 0x2384381dd299e207           -      -            
     0.00%     0.00%             0  [.] 0x0377f9f51b7c442b           -      -            
     0.00%     0.00%             0  [.] 0xf5aee5ba39b89405           -      -            
     0.00%     0.00%             0  [.] 0xe512e87917f1ad95           -      -            
     0.00%     0.00%             0  [.] 0x91bf65c957e1ef50           -      -            
     0.00%     0.00%             0  [.] 0x81a4515c77a522ae           -      -            
     0.00%     0.00%             0  [.] 0xdc61b3bab71e31cc           -      -            
     0.00%     0.00%             0  [.] 0x67d45ea6872ee48c           -      -            
     0.00%     0.00%             0  [.] 0x4eee24d4553c1cbb           -      -            
     0.00%     0.00%             0  [.] 0x909c6053c7881f17           -      -            
     0.00%     0.00%             0  [.] 0x772034980d0f8452           -      -            
     0.00%     0.00%             0  [.] 0x4ec7881052adb460           -      -            
     0.00%     0.00%             0  [.] 0x4334ca54c71fbd87           -      -            
     0.00%     0.00%             0  [.] 0xbfb8794139e5b670           -      -            
     0.00%     0.00%             0  [.] 0x1b5574a16d7d126d           -      -            
     0.00%     0.00%             0  [.] 0xa2a295358e408df0           -      -            
     0.00%     0.00%             0  [.] 0x3b317cc10d13751e           -      -            
     0.00%     0.00%             0  [.] 0xec8121337bfefefd           -      -            
     0.00%     0.00%             0  [.] 0x04b7d3e1a048c4c3           -      -            
     0.00%     0.00%             0  [.] 0x8c26d745baed7313           -      -            
     0.00%     0.00%             0  [.] 0xa2cd50e908e500c9           -      -            
     0.00%     0.00%             0  [.] 0xce9bc04d56f07213           -      -            
     0.00%     0.00%             0  [.] 0xb1589d21a67b7a1a           -      -            
     0.00%     0.00%             0  [.] 0x53bb564935711b4e           -      -            
     0.00%     0.00%             0  [.] 0x09ad734f4d426e8c           -      -            
     0.00%     0.00%             0  [.] 0x7eced4d2f53e5e32           -      -            
     0.00%     0.00%             0  [.] 0x7e9872de8fc44b82           -      -            
     0.00%     0.00%             0  [.] 0xf91d652caf8c11fa           -      -            
     0.00%     0.00%             0  [.] 0x1ad062e7f77f8185           -      -            
     0.00%     0.00%             0  [.] 0x4083cde582421d7b           -      -            
     0.00%     0.00%             0  [.] 0xcb70f362e2bd9ac6           -      -            
     0.00%     0.00%             0  [.] 0x6e8b0202d97fe2d3           -      -            
     0.00%     0.00%             0  [.] 0x23d18861bf9c7f3e           -      -            
     0.00%     0.00%             0  [.] 0x89295dd5f7693fda           -      -            
     0.00%     0.00%             0  [.] 0x457790dd9923660c           -      -            
     0.00%     0.00%             0  [.] 0xa69c95f741463e08           -      -            
     0.00%     0.00%             0  [.] 0xde6acd725edf8cee           -      -            
     0.00%     0.00%             0  [.] 0x811973371bc4631b           -      -            
     0.00%     0.00%             0  [.] 0xd19592705eec8ea7           -      -            
     0.00%     0.00%             0  [.] 0x76f8ede3ea3f8750           -      -            
     0.00%     0.00%             0  [.] 0x2cf3c95ae67652a3           -      -            
     0.00%     0.00%             0  [.] 0xfe16b94f565a1637           -      -            
     0.00%     0.00%             0  [.] 0x4182b4646538d8e3           -      -            
     0.00%     0.00%             0  [.] 0x1181168f70c40d67           -      -            
     0.00%     0.00%             0  [.] 0xc274fa08333e4d7b           -      -            
     0.00%     0.00%             0  [.] 0x9ba12717f5d526d9           -      -            
     0.00%     0.00%             0  [.] 0x243a1c871608ed20           -      -            
     0.00%     0.00%             0  [.] 0xba055df89f32da84           -      -            
     0.00%     0.00%             0  [.] 0xf52539023f5d5317           -      -            
     0.00%     0.00%             0  [.] 0xc504ae1019c329d3           -      -            
     0.00%     0.00%             0  [.] 0xdd611d08743ea27f           -      -            
     0.00%     0.00%             0  [.] 0xda6cd6850f7bf854           -      -            
     0.00%     0.00%             0  [.] 0x7b7e2c8736086fde           -      -            
     0.00%     0.00%             0  [.] 0xfd261b419b25ae9b           -      -            
     0.00%     0.00%             0  [.] 0x55a6131046ad0368           -      -            
     0.00%     0.00%             0  [.] 0x877d65ee4ddce4cc           -      -            
     0.00%     0.00%             0  [.] 0x1cac260696923695           -      -            
     0.00%     0.00%             0  [.] 0x516997967caf20fb           -      -            
     0.00%     0.00%             0  [.] 0xa4797ab229a1e4a1           -      -            
     0.00%     0.00%             0  [.] 0x3f171d6d9b055791           -      -            
     0.00%     0.00%             0  [.] 0xc3288a63e8b70503           -      -            
     0.00%     0.00%             0  [.] 0x49d1e1efd6c00836           -      -            
     0.00%     0.00%             0  [.] 0xe6bd41afa8d697e4           -      -            
     0.00%     0.00%             0  [.] 0xf91a1d9ed07c2e54           -      -            
     0.00%     0.00%             0  [.] 0xace7bb41ad3f0e21           -      -            
     0.00%     0.00%             0  [.] 0xffb2b1ccad35d617           -      -            
     0.00%     0.00%             0  [.] 0x6f8f1719d1b16726           -      -            
     0.00%     0.00%             0  [.] 0x518d299cbfbaebf5           -      -            
     0.00%     0.00%             0  [.] 0x5b6d1cf91b3529df           -      -            
     0.00%     0.00%             0  [.] 0x153d60ada06900ad           -      -            
     0.00%     0.00%             0  [.] 0xcbdbf533f125b479           -      -            
     0.00%     0.00%             0  [.] 0x7284f7a2d31671d9           -      -            
     0.00%     0.00%             0  [.] 0xcb73b43a234be797           -      -            
     0.00%     0.00%             0  [.] 0x705ee32bb7a67aff           -      -            
     0.00%     0.00%             0  [.] 0x75d1586d3ee66671           -      -            
     0.00%     0.00%             0  [.] 0x1e18f0ae2ffb6264           -      -            
     0.00%     0.00%             0  [.] 0x77ad4c9eec001038           -      -            
     0.00%     0.00%             0  [.] 0x433133f9a1c9dee8           -      -            
     0.00%     0.00%             0  [.] 0x878f19f631d6ebd4           -      -            
     0.00%     0.00%             0  [.] 0xf719ca9b2df48e64           -      -            
     0.00%     0.00%             0  [.] 0x36a87389fa9b3628           -      -            
     0.00%     0.00%             0  [.] 0x38ebce9579abcc8b           -      -            
     0.00%     0.00%             0  [.] 0x524c0b5261dc83ee           -      -            
     0.00%     0.00%             0  [.] 0x101125c4ef4128d1           -      -            
     0.00%     0.00%             0  [.] 0xecc9ffb97efeff12           -      -            
     0.00%     0.00%             0  [.] 0x67bde6ec2e17eb43           -      -            
     0.00%     0.00%             0  [.] 0x0c89e0f17b10c4d6           -      -            
     0.00%     0.00%             0  [.] 0xde71a7bdcc649517           -      -            
     0.00%     0.00%             0  [.] 0x2af73cfdcdcdaa50           -      -            
     0.00%     0.00%             0  [.] 0x7aa6d9608ccb45fe           -      -            
     0.00%     0.00%             0  [.] 0xb2ff44e2a7af1067           -      -            
     0.00%     0.00%             0  [.] 0x976777bc1863b72b           -      -            
     0.00%     0.00%             0  [.] 0x9fe4388cb03b8b4d           -      -            
     0.00%     0.00%             0  [.] 0xc30a005bf666e962           -      -            
     0.00%     0.00%             0  [.] 0x833647fe883e3919           -      -            
     0.00%     0.00%             0  [.] 0xd9c908e6d4d9efbc           -      -            
     0.00%     0.00%             0  [.] 0x81e56aee1b6dfc09           -      -            
     0.00%     0.00%             0  [.] 0xc761b73a62731385           -      -            
     0.00%     0.00%             0  [.] 0xa3c2fe293abae546           -      -            
     0.00%     0.00%             0  [.] 0x536e6d11441b356c           -      -            
     0.00%     0.00%             0  [.] 0xadec2c0b3ae66076           -      -            
     0.00%     0.00%             0  [.] 0x906921e9ba850ad6           -      -            
     0.00%     0.00%             0  [.] 0x4e8d45303eccc988           -      -            
     0.00%     0.00%             0  [.] 0xc3616aeb384d3907           -      -            
     0.00%     0.00%             0  [.] 0xfead58e16b1ebbf2           -      -            
     0.00%     0.00%             0  [.] 0x6b5e70c8ac560e93           -      -            
     0.00%     0.00%             0  [.] 0x66fe5c4f785841c8           -      -            
     0.00%     0.00%             0  [.] 0xf7a8ed7e2ef63898           -      -            
     0.00%     0.00%             0  [.] 0x72ed962f9971deb2           -      -            
     0.00%     0.00%             0  [.] 0xe604db994cf9f3cc           -      -            
     0.00%     0.00%             0  [.] 0xa4e20766861b25f2           -      -            
     0.00%     0.00%             0  [.] 0xfbb8d8a2889e0a76           -      -            
     0.00%     0.00%             0  [.] 0x322db64a712d3d09           -      -            
     0.00%     0.00%             0  [.] 0x3b65f4c4c1889bcf           -      -            
